CompNo,StasName,Latitude,Longitude,timestamp,hour,Temperature,wind_speed,WindDir,Humidity,Pressure,solar_irradiance
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,0,17.9,5.7,171,62,"1,015.10",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,1,17.2,7.3,171,59,"1,015.20",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,2,16.9,6.5,161,61,"1,015.00",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,3,17.3,6.6,169,54,"1,014.70",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,4,17,7.6,160,64,"1,015.00",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,5,16.9,8.7,167,56,"1,015.50",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,6,16.9,9.2,168,57,"1,016.10",100.68
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,7,18.2,9.7,167,46,"1,016.50",203.42
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,8,19.4,9.8,163,42,"1,016.60",411.31
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,9,20,8.3,159,44,"1,016.50",659.87
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,10,20.7,10.3,169,43,"1,016.40",809.94
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,11,22.1,10.7,175,41,"1,016.20",918.98
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,12,22.1,12.5,178,41,"1,016.10",1103.02
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,13,22.2,14.1,178,42,"1,015.50",1007.01
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,14,22,14.8,177,47,"1,015.20",967.59
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,15,22,15,175,47,"1,014.90",862.8
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,16,22.3,14.4,177,45,"1,014.50",656.09
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,17,22.3,13.5,173,44,"1,013.60",326.62
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,18,21.4,13.1,173,49,"1,013.20",110.56
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,19,20.6,12.6,174,53,"1,013.40",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,20,20.1,13,161,45,"1,013.90",0
213,CAPE TOWN WO,-33.96,18.6, 01-Jan-2021,21,18.6,14.1,155,51,"1,013.80",0
